title,price,locations,review
Apple iPhone SE 2020 64GB 128GB 256GB BRAND NEW Unlocked Smartphone 100% SEALED ,"IDR4,296,718.75",from United States,4.5 out of 5 stars.118 product ratings - Apple iPhone SE 2020 64GB 128GB 256GB BRAND NEW Unlocked Smartphone 100% SEALED 
Apple iPhone 12 Unlocked 64GB 128GB 256GB | Verizon T-Mobile AT&T | Very Good,"IDR7,265,312.50 to IDR9,062,187.50",from United States,4.5 out of 5 stars.21 product ratings - Apple iPhone 12 Unlocked 64GB 128GB 256GB | Verizon T-Mobile AT&T | Very Good
"Apple iPhone XS ,XS Max Unlocked Various Colors 64GB 256GB 512GB Smartphone Used","IDR3,437,343.75 to IDR5,859,218.75",from Japan,"4.5 out of 5 stars.2 product ratings - Apple iPhone XS ,XS Max Unlocked Various Colors 64GB 256GB 512GB Smartphone Used"
Apple iPhone 11 - 64GB - Factory Unlocked - Good Condition,"IDR4,843,593.75",from United States,4.5 out of 5 stars.22 product ratings - Apple iPhone 11 - 64GB - Factory Unlocked - Good Condition
Apple iPhone XR Unlocked Various Colors 64GB 128GB 256GB Smartphone Used,"IDR3,278,125.00 to IDR4,296,718.75",from Japan,4.5 out of 5 stars.145 product ratings - Apple iPhone XR Unlocked Various Colors 64GB 128GB 256GB Smartphone Used
Unlocked 6.5 Inch S22+ Android 12 Smartphone 4G Phone Dual Sim 8GB+128GB Mobile,"IDR826,406.25 to IDR1,093,593.75",from China,no review
NEW UNLOCKED SAMSUNG GALAXY S20 ULTRA 5G SM-G988U 128GB BLACK GRAY GSM+CDMA,"IDR6,841,875.00",from United States,4.5 out of 5 stars.127 product ratings - NEW UNLOCKED SAMSUNG GALAXY S20 ULTRA 5G SM-G988U 128GB BLACK GRAY GSM+CDMA
Apple iPhone SE 16GB 32GB 64GB 128GB 4G Unlocked iOS Smartphone Grade Pristine,"IDR1,145,448.75",from United Kingdom,5.0 out of 5 stars.5 product ratings - Apple iPhone SE 16GB 32GB 64GB 128GB 4G Unlocked iOS Smartphone Grade Pristine
"S22 Ultra 5G 6.7""HD Smart Phone 6800mAh Face ID Android 4+64+128GB TF Card","IDR1,358,281.25",from China,no review
Apple iPhone X Unlocked Various Colors 64GB 256GB Smartphone Used,"IDR3,201,562.50 to IDR3,671,718.75",from Japan,5.0 out of 5 stars.6 product ratings - Apple iPhone X Unlocked Various Colors 64GB 256GB Smartphone Used
Google Pixel 3 64GB/128GB Smartphone Unlocked,"IDR1,265,468.75",from United States,5.0 out of 5 stars.9 product ratings - Google Pixel 3 64GB/128GB Smartphone Unlocked
Samsung Galaxy S10e SM-G970U - 128GB - All Colors - (Unlocked) - Good,"IDR2,109,375.00 to IDR2,265,468.75",from United States,4.5 out of 5 stars.2 product ratings - Samsung Galaxy S10e SM-G970U - 128GB - All Colors - (Unlocked) - Good
iPhone 11 11 Pro 11 Pro Max 64gb 128gb 256gb - All Colours - GRADE mix,"IDR4,670,625.00 to IDR8,195,625.00",from United Kingdom,no review
Samsung Galaxy S22Ultra 5G SM-R908N 256/512GB/1TB Unlocked Snapdragon ⭐Tracking⭐,"IDR14,929,531.25 to IDR18,454,531.25","from Korea, South",5.0 out of 5 stars.12 product ratings - Samsung Galaxy S22Ultra 5G SM-R908N 256/512GB/1TB Unlocked Snapdragon ⭐Tracking⭐
